Canonical SMILES,Health,Fire,Reactivity,W,OX
C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],1,1,1,0,0
C1=CC=CC=C1,1,1,0,0,0
CC1(C2CCC1(C(=O)C2)C)C,1,1,0,0,0
C1C(O1)CCl,1,1,1,1,0
CC(=O)O,1,1,0,0,0
CC(=O)C,1,1,0,0,0
CC#N,1,1,0,0,0
C1=CC=C(C=C1)N,1,1,0,0,0
COC1=CC=CC=C1,1,1,0,0,0
C1=CC=C(C=C1)CO,1,1,0,0,0
C1=CC=C(C=C1)Br,1,1,0,0,0
CCCCO,1,1,0,0,0
CC(C)CO,1,1,0,0,0
CC(C)(C)O,1,1,0,0,0
CCOCCOCCO,1,1,0,0,0
CCOCCO,1,1,0,0,0
C1=CC=C(C=C1)Cl,1,1,0,0,0
C1CCC1,1,1,0,0,0
C1CCCCCC1,0,1,0,0,0
C1CCCCC1,1,1,0,0,0
C1CCC(CC1)O,1,1,0,0,0
C1CCCC1,1,1,0,0,0
CCCCCCCCCC,1,1,0,0,0
CC(Cl)Cl,1,1,0,0,0
C(CCl)Cl,1,1,0,0,0
C(Cl)Cl,1,1,0,0,0
CCOCCOCCOCC,1,1,1,0,0
C(COCCO)O,1,1,0,0,0
CCOCC,1,1,1,0,0
CCOCCOCC,1,1,0,0,0
COCCOCCOC,1,1,1,0,0
COCCOC,1,1,0,0,0
CC(=O)N(C)C,1,1,0,0,0
CCC(C)(C)C,1,1,0,0,0
CC(C)C(C)C,1,1,0,0,0
CN(C)C=O,1,1,0,0,0
CS(=O)C,1,1,0,0,0
C1COCCO1,1,1,1,0,0
CCO,1,1,0,0,0
CCOC(=O)C,1,1,0,0,0
CCC1=CC=CC=C1,1,1,0,0,0
C(=O)N,1,1,0,0,0
C1=COC=C1,1,1,1,0,0
CCCCCC,0,1,0,0,0
CC1=CC(=CC(=C1)C)C,1,1,0,0,0
CO,1,1,0,0,0
CC(=O)OC,1,1,0,0,0
COCCOCCO,1,1,0,0,0
CC1CCCCC1,1,1,0,0,0
CCC(=O)C,1,1,0,0,0
CC1=CC=CC=N1,1,1,0,0,0
C1COCCN1,1,1,1,0,0
CC(C)(C)CO,1,1,0,0,0
C1=CC=C(C=C1)[N+](=O)[O-],1,1,1,0,0
CC[N+](=O)[O-],1,1,1,0,0
C[N+](=O)[O-],1,1,1,0,0
CCCCCCCCC,1,1,0,0,0
CCCCCCCC,1,1,0,0,0
CCCCC,1,1,0,0,0
CC(C)(C)C,1,1,0,0,0
CCCCCO,1,1,0,0,0
CCOC1=CC=CC=C1,0,1,0,0,0
C1=CC=C(C=C1)O,1,1,0,0,0
C1CCNCC1,1,1,0,0,0
CCCO,1,1,0,0,0
CC(C)O,1,1,0,0,0
CCC#N,1,1,1,0,0
C1=CC=NC=C1,1,1,0,0,0
C1=CNC=C1,1,1,0,0,0
C1CCNC1,1,1,1,0,0
C1=CC=C2C(=C1)C=CC=N2,1,1,0,0,0
C1CCS(=O)(=O)C1,1,1,0,0,0
C(=C(Cl)Cl)(Cl)Cl,1,0,0,0,0
C1CCOC1,1,1,1,0,0
C1CCOCC1,1,1,1,0,0
