SMILES,Health,Fire,Reactivity,W
[2H][2H],0,1,0,0
[N-]=[N+]=[N-].[Na+],1,1,1,0
S(Cl)Cl,1,1,1,0
CC[Al](Cl)Cl,0,1,1,0
N(=O)[O],1,0,0,0
O=S=O,1,0,0,0
C[CH2-].C[CH2-].[Zn+2],1,1,1,0
FF,1,0,1,0
[NH4+].[F-],1,0,0,0
[H+].[B-](F)(F)(F)F,1,0,0,0
C(C(=O)[O-])F.[Na+],1,0,0,0
[O-]Cl(=O)(=O)=O.[O-]Cl(=O)(=O)=O.[Mg+2],1,0,0,0
[O-][Mn](=O)(=O)=O.[O-][Mn](=O)(=O)=O.[Ba+2],1,0,0,0
[O-][O-].[Ba+2],1,0,1,0
[O-][O-].[K+].[K+],1,0,1,0
[SiH4],1,1,1,0
[NH4+].[Br-],1,0,0,0
[NH4+].[Cl-],1,0,0,0
[NH4+].[F-],1,0,0,0
[NH4+].[N+](=O)([O-])[O-],1,0,1,0
[NH4+].[O-]Cl(=O)(=O)=O,1,0,1,0
[NH4+].[O-][Mn](=O)(=O)=O,1,0,1,0
[NH4+].[NH4+].[O-]S(=O)(=O)[O-],1,0,0,0
F[Sb](F)(F)(F)F,1,0,1,0
S=[Sb](=S)S[Sb](=S)=S,1,1,1,0
Cl[As](Cl)Cl,1,0,0,0
S=[As]S[As]=S,1,1,0,0
[O-][Cl+2]([O-])[O-].[O-][Cl+2]([O-])[O-].[Ba+2],1,0,1,0
[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Ba+2],1,0,0,0
[O-][O-].[Ba+2],1,0,0,0
B(F)(F)F,1,0,1,0
BrBr,1,0,0,0
FBr(F)F,1,0,1,1
[C-]#[C-].[Ca+2],1,1,1,1
[O-]Cl(=O)=O.[O-]Cl(=O)=O.[Ca+2],1,0,1,0
[C-]#N.[C-]#N.[Ca+2],1,0,0,0
[O-]Cl.[O-]Cl.[Ca+2],1,0,1,0
[O-2].[Ca+2],1,0,1,0
C(=S)=S,1,1,0,0
[C-]#[O+],1,1,0,0
C(Cl)(Cl)(Cl)Cl,1,0,0,0
ClCl,1,0,0,0
O(Cl)Cl,1,1,1,0
O[Cr](=O)(=O)O,1,0,1,0
c1ccc2cc(ccc2c1)C(=O)[O-].c1ccc2cc(ccc2c1)C(=O)[O-].[Co+2],1,1,0,0
[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Cu+2],1,0,0,0
[2H][2H],0,1,0,0
BB,1,1,1,1
Cl[SiH2]Cl,1,1,1,0
FF,1,0,1,1
NN,1,1,1,0
[HH],0,1,0,0
[O-][As](=O)([O-])[O-].[O-][As](=O)([O-])[O-].[PbH2].[PbH2].[PbH2],1,0,0,0
[Pb+2].[O-][N+]([O-])=O.[O-][N+]([O-])=O,1,0,0,0
C(#N)S[Pb]SC#N,1,1,1,0
[H-].[Li+],1,1,1,1
[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Mg+2],1,0,0,0
[O-]Cl(=O)(=O)=O.[O-]Cl(=O)(=O)=O.[Mg+2],1,0,0,0
C(#N)[Hg]C#N,1,0,0,0
[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[Ni],1,1,1,0
[N+](=O)(O)[O-],1,0,0,0
N#N,1,0,0,0
[N+](=O)([N+](=O)[O-])[O-],1,0,0,0
N(=O)[N+](=O)[O-],1,0,0,0
O=O,1,0,0,0
OCl(=O)(=O)=O,1,0,1,0
OP(=O)(O)O,1,0,0,0
P(Cl)(Cl)Cl,1,0,1,1
p12p3p1p23,1,1,1,0
O=P(Cl)(Cl)Cl,1,0,1,1
[O-]Br(=O)=O.[K+],1,0,0,0
[O-]Cl(=O)=O.[K+],1,0,0,0
C(#N)[K],1,0,0,0
[OH-].[K+],1,0,1,0
[N+](=O)([O-])[O-].[K+],1,0,0,0
[O-][Mn](=O)(=O)=O.[K+],1,0,0,0
[O-][O-].[K+].[K+],1,0,1,1
[O-]S(=O)(=O)OOS(=O)(=O)[O-].[K+].[K+],1,0,0,0
[S-2].[K+].[K+],1,1,0,0
[N+](=O)([O-])[O-].[Ag+],1,0,0,0
[O-]Cl(=O)=O.[Na+],1,0,1,0
[O-]Cl=O.[Na+],1,1,1,0
[C-]#N.[Na+],1,0,0,0
[F-].[Na+],1,0,0,0
[H-].[Na+],1,1,1,1
[OH-].[Na+],1,0,1,0
[N+](=O)([O-])[O-].[Na+],1,0,0,0
[O-]Cl(=O)(=O)=O.[Na+],1,0,1,0
[O-][O-].[Na+].[Na+],1,0,1,1
[Na][K],1,1,1,1
[Na+].[Na+].[S-2],1,1,0,0
Cl[Sn](Cl)(Cl)Cl,1,0,1,0
S1SSSSSSS1,1,1,0,0
S(SCl)Cl,1,1,1,1
O=S=O,1,0,0,0
OS(=O)(=O)O,1,0,1,1
C(=S)=S,1,1,0,0
CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].[Zn+2],1,1,0,0
O=S=O,1,0,0,0
[OH-].[Na+],1,0,1,0
CCCC[Si](Cl)(Cl)Cl,1,1,0,0
[HH],0,1,0,0
C1=CC=C(C=C1)[Si](C2=CC=CC=C2)(Cl)Cl,1,1,1,0
CC[Al](Cl)Cl,0,1,1,0
B(F)(F)F,1,0,1,0
B(Br)(Br)Br,1,0,1,1
C[Si](C)(Cl)Cl,1,1,1,0
[O-][O-].[Ba+2],1,0,1,0
[O-][Mn](=O)(=O)=O.[O-][Mn](=O)(=O)=O.[Ba+2],1,0,0,0
[C-]#N.[C-]#N.[Ba+2],1,0,0,0
Cl[Sb](Cl)(Cl)(Cl)Cl,1,0,1,0
[NH4+].[NH4+].[O-]S(=O)(=O)[O-],0,0,0,0
[O-2].[O-2].[O-2].[Al+3].[Al+3],0,0,1,0
B.B,1,1,1,0
CCO[Si](=O)O,1,1,1,0
FF,1,0,1,0
NN,1,1,1,0
CCCCCCCCCCCCCCCC[Si](Cl)(Cl)Cl,1,1,1,0
NO,1,0,1,0
[O-]Cl(=O)(=O)=O.[O-]Cl(=O)(=O)=O.[Mg+2],1,0,0,0
[O-][Si]([O-])([O-])[O-].[Ca+2].[Ca+2],1,0,0,0
N(=O)[O],1,0,0,0
[O-]Cl=O.[Na+],1,0,1,0
[C-]#N.[Na+],1,0,0,0
[H-].[Na+],1,1,1,1
[O-]S(=O)S(=O)[O-].[Na+].[Na+],1,1,1,1
[Na+].[Na+].[SH-],1,1,1,0
O=P(Cl)(Cl)Cl,1,0,1,1
[SbH3],1,1,1,1
S(Cl)Cl,1,1,1,0
S(SCl)Cl,1,1,1,0
C[Si](Cl)(Cl)Cl,1,1,1,1
CC[Pb](CC)(CC)CC,1,1,1,1
Cl[Ti](Cl)(Cl)Cl,1,0,1,0
CC[Si](Cl)(Cl)Cl,1,1,1,0
CCCCC[Si](Cl)(Cl)Cl,1,1,1,0
CCC[Si](Cl)(Cl)Cl,1,1,1,0
[SiH](Cl)(Cl)Cl,1,1,1,1
C=C[Si](Cl)(Cl)Cl,1,1,1,0
B(CC)(CC)CC,1,1,1,1
[C-]#[O+],1,1,0,0
OS(=O)(=O)Cl,1,0,1,1
[O-]Cl.[O-]Cl.[Ca+2],1,0,1,0
C[CH2-].C[CH2-].[Zn+2],1,1,1,0
FCl(F)F,1,0,1,0
CC(C)C[Al](CC(C)C)CC(C)C,1,1,1,0
C[Si](C)(C)Cl,1,1,1,1
C15H24O,1,1,0,0
C1=CC=C(C=C1)[Si](Cl)(Cl)Cl,1,1,1,0
[N+](=O)([N+](=O)[O-])[O-],1,0,0,0
C[Si](Cl)Cl,1,1,1,1
OP(=O)(O)O,1,0,0,0
[S-2].[K+].[K+],1,1,0,0
P(Cl)(Cl)(Cl)(Cl)Cl,1,0,1,1
P(=S)SP=S,1,1,1,1
P12P3P1SP(S2)S3,0,1,1,0
[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[Ni],1,1,1,0
C[Pb](C)(C)C,1,1,1,0
OS(=O)(=O)O,1,0,1,0
CC[Al](CC)Cl.CC[Al](Cl)Cl,1,1,1,0
C[Al](C)Br.C[Al](Br)Br,1,1,1,0
[O-][O-].[K+].[K+],1,0,1,0
[H+].[B-](F)(F)(F)F,1,0,0,0
Cl[Zr](Cl)(Cl)Cl,1,0,1,1
C=CC[Si](Cl)(Cl)Cl,1,1,1,0
CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=NC3=C(C4=C(C=C(C=C4C=C3S(=O)(=O)[O-])S(=O)(=O)[O-])N)O)C)N=NC5=C(C6=C(C=C(C=C6C=C5S(=O)(=O)[O-])S(=O)(=O)[O-])N)O.[Na+].[Na+].[Na+].[Na+],0,1,0,0
CC[Al](CC)CC,1,1,1,0
CC[Si](Cl)Cl,1,1,1,0
C1(=NC(=O)N(C(=O)N1Cl)Cl)[O-].[Na+],1,0,1,1
B(OCCCC)(OCCCC)OCCCC,1,1,1,0
[HH],0,1,0,0
O=O,1,0,0,0
N#N,1,0,0,0
CC[Al](CC)Cl,1,1,1,0
B(F)(F)F.CCOCC,1,1,1,1
CO[Si](OC)(OC)OC,1,1,1,0
B(OC)(OC)OC,1,1,1,0
C1(=O)[N-]C(=O)N(C(=O)N1Cl)Cl.[K+],1,0,1,1
C(=O)=S,1,1,1,0
[NH4+].[F-],1,0,0,0
CO[Si](OC)OC,1,1,1,0
CCO[Si](OCC)OCC,1,1,0,0
C=O.C=O.C=O.C=O.C=O.[Fe],1,1,1,0
[SiH4],1,1,1,0
CCCCCCCCCCCCCCCCCC[Si](Cl)(Cl)Cl,1,1,1,0
C1CCC(CC1)[Si](Cl)(Cl)Cl,1,1,1,0
O(Cl)Cl,1,1,1,0
